points_ratio,email_send,email_open_rate,email_click_rate,email_forward_rate,rest_loc_bar,rest_loc_Merch,rest_loc_Open,rest_loc_Patio,rest_loc_Rest,rest_loc_rm_serv,rest_loc_Take_out,rest_loc_cafe,rest_loc_unkn,time_breakfast,time_dinner,time_late_nite,time_lunch,time_unknown,disc_app,disc_beverage,disc_dessert,disc_employee,disc_food,disc_other,disc_ribs,disc_sandwich,disc_ticket,disc_type_bogo,disc_type_comp,disc_type_dolfood,disc_type_empl,disc_type_free,disc_type_other,disc_type_pctfood,disc_chan_advo,disc_chan_comp,disc_chan_demo,disc_chan_empl,disc_chan_entbk,disc_chan_gmms,disc_chan_gps,disc_chan_laten,disc_chan_local,disc_chan_other,disc_chan_part,disc_chan_smart,disc_chan_valc,disc_chan_value,disc_pct_tot,disc_pct_trans,items_tot_distinct,items_tot,net_amt_p_item,checks_tot,net_sales_p_chck,net_sales_tot,fd_cat_alcoh,fd_cat_app,fd_cat_bev,fd_cat_brunc,fd_cat_buffe,fd_cat_burg,fd_cat_combo,fd_cat_dess,fd_cat_drink,fd_cat_h_ent,fd_cat_kids,fd_cat_l_ent,fd_cat_other,fd_cat_side,fd_cat_soupsal,fd_cat_steak,days_between_trans,tenure_day,age,guests_last_12mo,customer_number
3.47826,63,0.365079365,0.015873016,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1559,1,6,7,6.562857,1,45.94,45.94,0,0.127775,0.188724,0,0,0,0,0,0,0.6835,0,0,0,0,0,0,0,2407,35,3.45,1015
0,56,0.107142857,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1047,1,8,10,5.323,1,53.23,53.23,0.302204,0.367491,0,0,0,0,0,0,0,0,0.097257,0.128722,0.104324,0,0,0,0,2407,51,2.3,1016
0,55,0.339622642,0.037735849,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6.845,1,27.38,27.38,0.277052,0,0,0,0,0,0,0,0,0,0,0,0.361473,0,0.361473,0,0,2407,85,2.3,1017
0,16,0.0625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3496,1,2,3,4.96,1,14.88,14.88,0.630376,0.369623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2407,65,1.15,1018
4.210526,84,0.226190476,0.011904762,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3637,1,4,4,4.7175,1,18.87,18.87,0,0.138504,0.257617,0,0,0,0,0,0,0,0,0,0.128808,0,0.475069,0,0,2407,32,2.3,1019
0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,6.465,1,51.72,51.72,0,0.186938,0.153549,0,0,0.21629,0,0,0,0.274995,0,0,0.051183,0.117042,0,0,0,2407,34,2.3,1020
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.3402,1,4,4,5.6675,1,22.67,22.67,0,0,0.140278,0,0,0,0,0,0,0.473338,0,0,0.070139,0,0,0.316242,0,2407,72,2.3,1021
0,59,0.050847458,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.3321,1,4,4,4.3675,1,17.47,17.47,0,0,0.198053,0,0,0.331997,0,0,0,0.469948,0,0,0,0,0,0,0,2407,56,2.3,1022
0,0,0,0,0,0.333333333,0,0,0,0.666666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1273,0.333333333,10,13,7.72,3,33.4533,100.36,0,0.070654,0,0,0,0.550143,0,0,0,0.114547,0,0.162885,0.070654,0,0.031113,0,74,2406,58,8.05,1023
0,56,0.071428571,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,8.065714,2,28.23,56.46,0.070846,0.173397,0.047644,0,0,0,0,0,0,0.354233,0,0.353878,0,0,0,0,0,2406,37,4.6,1024
2.948717,52,0.692307692,0.019230769,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2155,0.5,6,6,5.756666,2,17.27,34.54,0.164736,0,0.161551,0,0,0.240011,0,0,0,0.390561,0.043138,0,0,0,0,0,7,2406,69,3.45,1025
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,6.274,2,31.37,62.74,0,0.047816,0.165125,0,0,0.3124,0,0,0,0.165763,0,0.111412,0,0,0,0.197481,140,2406,73,4.6,1026
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2669,1,9,16,5.526875,2,44.215,88.43,0,0.135135,0.189189,0,0,0.164084,0,0,0,0.1357,0,0.082211,0,0,0.293678,0,14,2406,49,8.05,1027
